model,precision(B),recall(B),mAP50(B),mAP50-95(B),precision(M),recall(M),mAP50(M),mAP50-95(M),fitness,speed_preprocess,speed_inference,speed_postprocess,map50_95_per_class,train/box_loss,train/seg_loss,train/cls_loss,val/box_loss,val/seg_loss,val/cls_loss
yolov8s,89.0,67.0,80.0,73.0,89.0,66.0,80.0,70.0,145.0,1.0,8.17,2.78,"[73.0, 88.0, 63.0, 69.0]","[1.02752, 0.65327, 0.60918, 0.59671, 0.55404, 0.53097, 0.5147, 0.50001, 0.46276, 0.46303, 0.47842, 0.43275, 0.39844, 0.37371, 0.33862, 0.31231, 0.28449, 0.25999, 0.23443, 0.21365]","[2.51806, 0.75841, 0.6871, 0.6688, 0.64098, 0.61309, 0.61722, 0.57664, 0.51989, 0.52582, 0.7088, 0.6062, 0.52521, 0.47656, 0.41915, 0.38313, 0.33991, 0.3068, 0.27015, 0.24456]","[1.64518, 0.74133, 0.61962, 0.57659, 0.50659, 0.48054, 0.45306, 0.42474, 0.40101, 0.38293, 0.42408, 0.37056, 0.32316, 0.27951, 0.25209, 0.2229, 0.20456, 0.18641, 0.17059, 0.15916]","[0.93121, 0.7387, 0.68394, 0.60943, 0.58337, 0.64813, 0.60757, 0.58911, 0.55661, 0.54723, 0.5582, 0.52972, 0.51211, 0.52118, 0.50239, 0.49762, 0.48602, 0.48793, 0.4868, 0.47922]","[1.69171, 1.20891, 1.70168, 1.09143, 0.97105, 1.1346, 0.92905, 0.80785, 0.87172, 0.81818, 0.83524, 0.78511, 0.76694, 0.75417, 0.69243, 0.75711, 0.77455, 0.79183, 0.78475, 0.82288]","[1.23585, 1.28388, 0.75417, 0.71039, 0.56547, 0.73339, 0.50534, 0.47761, 0.43919, 0.43987, 0.50079, 0.43934, 0.40254, 0.36882, 0.36618, 0.35664, 0.33751, 0.35144, 0.34001, 0.32545]"
yolov8m,95.0,61.0,77.0,72.0,95.0,61.0,77.0,66.0,140.0,1.14,10.82,2.09,"[72.0, 89.0, 59.0, 69.0]","[0.93737, 0.64165, 0.63543, 0.59523, 0.56047, 0.53753, 0.50376, 0.48498, 0.4802, 0.45107, 0.46707, 0.43679, 0.40664, 0.37867, 0.35282, 0.32556, 0.29717, 0.27493, 0.24754, 0.22878]","[2.18825, 0.77383, 0.73422, 0.69123, 0.67672, 0.6165, 0.62045, 0.5791, 0.56525, 0.52988, 0.7178, 0.65244, 0.57723, 0.51581, 0.46578, 0.4336, 0.3824, 0.35403, 0.31643, 0.29199]","[1.47867, 0.66104, 0.60795, 0.5496, 0.50819, 0.48269, 0.44906, 0.403, 0.38943, 0.36154, 0.40893, 0.36668, 0.31827, 0.27583, 0.25346, 0.22513, 0.20649, 0.18677, 0.16863, 0.15658]","[0.60641, 1.06217, 0.67958, 0.64409, 0.67707, 0.60191, 0.5566, 0.56957, 0.53702, 0.52958, 0.5383, 0.55853, 0.48835, 0.48355, 0.47983, 0.48826, 0.47598, 0.47939, 0.48028, 0.47656]","[1.10009, 3.57789, 1.2818, 1.06949, 1.15584, 1.0092, 0.83334, 0.8115, 0.90425, 0.83661, 0.87749, 0.90283, 0.7656, 0.74867, 0.75328, 0.68805, 0.76022, 0.76606, 0.80264, 0.81115]","[2.92763, 10.1915, 1.09625, 0.62612, 0.7868, 0.58392, 0.43052, 0.44477, 0.42491, 0.40577, 0.4864, 0.5074, 0.37344, 0.35597, 0.3531, 0.32403, 0.28991, 0.27649, 0.2755, 0.26873]"
yolov8l,69.0,73.0,66.0,60.0,69.0,72.0,66.0,57.0,119.0,1.04,10.73,2.33,"[60.0, 89.0, 57.0, 34.0]","[0.92344, 0.67896, 0.67862, 0.62855, 0.60223, 0.54924, 0.5334, 0.51395, 0.48402, 0.47574, 0.48513, 0.45934, 0.41947, 0.3978, 0.36366, 0.35034, 0.31516, 0.28993, 0.26882, 0.24618]","[2.17601, 0.81573, 0.77694, 0.74646, 0.71103, 0.66027, 0.65987, 0.62798, 0.56338, 0.54891, 0.76546, 0.69608, 0.62435, 0.57502, 0.52444, 0.48545, 0.42265, 0.38986, 0.35322, 0.32463]","[1.39556, 0.73241, 0.64902, 0.60525, 0.54109, 0.48645, 0.46003, 0.44329, 0.40423, 0.38086, 0.42586, 0.40182, 0.34866, 0.3045, 0.27672, 0.24766, 0.21491, 0.19584, 0.17914, 0.16215]","[0.68112, 1.72684, 0.72808, 0.77516, 0.70098, 0.60864, 0.57754, 0.6489, 0.5827, 0.58066, 0.5483, 0.52899, 0.49651, 0.49278, 0.4767, 0.4964, 0.46879, 0.47196, 0.46127, 0.46528]","[1.82159, 19.5839, 1.79653, 1.21268, 0.99814, 1.02744, 1.00336, 0.95272, 0.8568, 0.92436, 0.81772, 0.79238, 0.74709, 0.71945, 0.73188, 0.73043, 0.73388, 0.72139, 0.7416, 0.76125]","[7.31976, 27.8939, 3.05934, 1.45478, 1.2452, 0.64587, 0.60946, 0.557, 0.4185, 0.40458, 0.58047, 0.42745, 0.39581, 0.34857, 0.33538, 0.30883, 0.28881, 0.28836, 0.28688, 0.27543]"
yolov11s,83.0,66.0,77.0,68.0,83.0,66.0,77.0,67.0,137.0,0.84,8.19,2.01,"[68.0, 89.0, 54.0, 62.0]","[0.99314, 0.67011, 0.61901, 0.64855, 0.58495, 0.56036, 0.54271, 0.52676, 0.49048, 0.48965, 0.49756, 0.44655, 0.41466, 0.38941, 0.35942, 0.33951, 0.31337, 0.28705, 0.26418, 0.24343]","[2.31022, 0.77994, 0.75567, 0.7437, 0.69994, 0.6599, 0.66004, 0.61171, 0.57646, 0.56436, 0.7303, 0.63949, 0.57375, 0.52119, 0.46548, 0.42717, 0.38449, 0.35018, 0.31329, 0.28787]","[1.66567, 0.73466, 0.65575, 0.621, 0.55291, 0.53251, 0.48551, 0.46379, 0.42778, 0.423, 0.44046, 0.3836, 0.32555, 0.30349, 0.27827, 0.25529, 0.23161, 0.20555, 0.19103, 0.17798]","[0.75748, 0.77816, 0.97901, 0.72727, 0.6293, 0.66985, 0.58138, 0.5534, 0.58379, 0.50985, 0.59096, 0.56001, 0.53712, 0.52033, 0.51456, 0.48944, 0.49086, 0.47644, 0.47489, 0.47381]","[1.13103, 2.64904, 2.20369, 1.84712, 0.97365, 1.31757, 0.88145, 0.82629, 0.83242, 0.76852, 0.82032, 0.78403, 0.83145, 0.73789, 0.74529, 0.68655, 0.74294, 0.72645, 0.79176, 0.78624]","[1.41591, 1.00845, 1.58138, 0.89457, 0.64731, 0.79444, 0.54475, 0.45287, 0.4863, 0.39967, 0.50072, 0.4674, 0.42827, 0.38242, 0.40604, 0.39805, 0.32058, 0.32549, 0.31273, 0.30376]"
yolov11m,70.0,76.0,75.0,70.0,70.0,76.0,75.0,65.0,137.0,1.1,9.14,2.0,"[70.0, 89.0, 55.0, 65.0]","[0.92959, 0.67615, 0.65576, 0.65167, 0.60946, 0.56741, 0.55452, 0.52698, 0.50612, 0.49573, 0.51109, 0.45924, 0.42705, 0.40583, 0.37247, 0.35149, 0.31689, 0.29478, 0.27157, 0.25465]","[2.16411, 0.83639, 0.79475, 0.76634, 0.72077, 0.68036, 0.66868, 0.62307, 0.58986, 0.58096, 0.77864, 0.69808, 0.6292, 0.58491, 0.52408, 0.48349, 0.42791, 0.39618, 0.35718, 0.32726]","[1.5377, 0.70343, 0.62707, 0.59589, 0.55029, 0.50771, 0.47562, 0.44617, 0.43798, 0.42785, 0.47217, 0.39232, 0.33874, 0.30857, 0.27697, 0.25027, 0.22209, 0.20085, 0.18802, 0.17588]","[0.82078, 0.94853, 1.08787, 0.70351, 0.65598, 0.60684, 0.59791, 0.59931, 0.56293, 0.55595, 0.55595, 0.56391, 0.52528, 0.54321, 0.49418, 0.49571, 0.48281, 0.49314, 0.4902, 0.48544]","[3.38942, 2.1921, 77.3767, 1.27633, 1.22564, 0.99245, 0.9517, 0.86386, 0.89055, 0.91137, 0.80976, 0.81671, 0.8207, 0.72848, 0.70822, 0.74424, 0.77725, 0.71565, 0.74515, 0.77067]","[4.13836, 1.11191, inf, 1.07032, 1.18838, 0.7535, 0.56221, 0.49888, 0.56735, 0.46155, 0.47321, 0.49145, 0.39365, 0.37714, 0.33875, 0.32279, 0.32553, 0.31446, 0.29465, 0.29216]"
yolov11l,85.0,55.0,62.0,58.0,84.0,54.0,62.0,55.0,114.0,0.89,10.47,1.91,"[58.0, 90.0, 54.0, 30.0]","[0.9534, 0.727, 0.71809, 0.66571, 0.62551, 0.62585, 0.55982, 0.55505, 0.52076, 0.49954, 0.50628, 0.47329, 0.44636, 0.42295, 0.3917, 0.37109, 0.34048, 0.32178, 0.29807, 0.28098]","[2.17382, 0.89072, 0.8637, 0.77384, 0.77783, 0.72178, 0.69623, 0.69173, 0.65116, 0.60712, 0.78165, 0.74375, 0.67133, 0.62474, 0.56959, 0.54435, 0.48283, 0.4513, 0.41174, 0.38435]","[1.53248, 0.76821, 0.68956, 0.61616, 0.55659, 0.53767, 0.48428, 0.47595, 0.45009, 0.42642, 0.46113, 0.4093, 0.35278, 0.32686, 0.30235, 0.26458, 0.23495, 0.22044, 0.19539, 0.17976]","[0.84345, 2.32972, 0.7661, 0.70862, 0.77951, 0.61095, 0.59562, 0.58578, 0.56536, 0.56566, 0.57453, 0.52497, 0.50993, 0.51714, 0.48842, 0.51153, 0.49057, 0.48577, 0.48165, 0.46661]","[6.97078, 25.4877, 1.659, 1.74319, 2.4237, 1.06266, 1.08485, 1.00469, 0.94203, 0.90569, 0.95204, 0.92109, 0.77718, 0.74347, 0.82288, 0.72736, 0.71803, 0.71173, 0.72134, 0.72955]","[inf, 5.36989, 1.87084, 0.8078, 0.92172, 0.86794, 0.67296, 0.60259, 0.49545, 0.46041, 0.55421, 0.50686, 0.39732, 0.37753, 0.34752, 0.32167, 0.31716, 0.29643, 0.28916, 0.27611]"
