easyocr_ocr,tesseract_ocr,doctr_ocr
"(np.float64(0.0), np.float64(0.739247311827957))","(np.float64(0.0), np.float64(0.6666666666666666))","(np.float64(0.0), np.float64(0.7473118279569892))"
"(np.float64(0.0), np.float64(0.989247311827957))","(np.float64(0.0), np.float64(0.9059139784946236))","(np.float64(0.0), np.float64(0.9946236559139785))"
"(np.float64(0.0), np.float64(0.03763440860215054))","(np.float64(0.002688172043010753), np.float64(0.0456989247311828))","(np.float64(0.0), np.float64(0.13440860215053763))"
"(np.float64(0.0), np.float64(0.22311827956989247))","(np.float64(0.0), np.float64(0.0913978494623656))","(np.float64(0.0), np.float64(0.239247311827957))"
"(np.float64(0.0), np.float64(0.7661290322580645))","(np.float64(0.0), np.float64(0.6021505376344086))","(np.float64(0.0), np.float64(0.7741935483870968))"
