img_path,easyocr_ocr,tesseract_ocr,doctr_ocr
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2984.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.8))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2987.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2990.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2978.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\1\budni_2479913_1_6003.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\1\budni_2479913_1_6005.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\2\budni_2479913_2_6024.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\2\budni_2479913_2_6023.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\4\budni_2479913_4_6049.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\4\budni_2479913_4_6054.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6076.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6077.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6081.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6084.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6086.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6087.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\7\budni_2479913_7_6095.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\7\budni_2479913_7_6103.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6107.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6109.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6110.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6108.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6111.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7516.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7517.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\2\budni_2494853_2_7528.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\2\budni_2494853_2_7530.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7543.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7546.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7548.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\4\budni_2494853_4_7557.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
