model,precision(B),recall(B),mAP50(B),mAP50-95(B),precision(M),recall(M),mAP50(M),mAP50-95(M),fitness,speed_preprocess,speed_inference,speed_postprocess,map50_95_per_class,train/box_loss,train/seg_loss,train/cls_loss,val/box_loss,val/seg_loss,val/cls_loss
yolov8s_hsv,98.0,68.0,76.0,69.0,98.0,68.0,76.0,66.0,137.0,1.37,10.19,2.94,"[69.0, 89.0, 51.0, 67.0]","[1.051, 0.65186, 0.63879, 0.59818, 0.56625, 0.56028, 0.53099, 0.53119, 0.50459, 0.50975, 0.48006, 0.45452, 0.45587, 0.43684, 0.42536, 0.41473, 0.39733, 0.39595, 0.38674, 0.38188, 0.41221, 0.38262, 0.35301, 0.32112, 0.29703, 0.27797, 0.254, 0.23701, 0.2186, 0.20575]","[2.57588, 0.75466, 0.7155, 0.67318, 0.66053, 0.62789, 0.63139, 0.59619, 0.5703, 0.57218, 0.53689, 0.52092, 0.53029, 0.51231, 0.4757, 0.48676, 0.47873, 0.4472, 0.46614, 0.44475, 0.59491, 0.52165, 0.46264, 0.41533, 0.38001, 0.34977, 0.31504, 0.28449, 0.26257, 0.24316]","[1.65476, 0.74114, 0.64556, 0.5789, 0.52214, 0.51888, 0.49387, 0.47705, 0.43286, 0.43111, 0.40041, 0.38361, 0.37853, 0.36035, 0.34854, 0.34285, 0.32426, 0.31261, 0.30498, 0.30371, 0.30523, 0.27351, 0.24252, 0.21942, 0.20089, 0.18668, 0.17525, 0.16315, 0.15417, 0.14772]","[0.68574, 0.7158, 1.46748, 0.69911, 0.67082, 0.68355, 0.58731, 0.60157, 0.5574, 0.60044, 0.56553, 0.55864, 0.57508, 0.55924, 0.56432, 0.53029, 0.54039, 0.5272, 0.54949, 0.50582, 0.525, 0.53244, 0.4992, 0.49989, 0.49804, 0.5039, 0.49837, 0.49788, 0.49587, 0.50113]","[1.05677, 0.97822, 3.97656, 1.60562, 1.25277, 0.94671, 0.96712, 0.89869, 0.85343, 0.82236, 0.8283, 0.77958, 0.80146, 0.79831, 0.7812, 0.82649, 0.80113, 0.75311, 0.79701, 0.76353, 0.73252, 0.72335, 0.70251, 0.67803, 0.76217, 0.7262, 0.72663, 0.74828, 0.7719, 0.80459]","[1.32515, 1.36713, 2.51054, 0.74046, 0.71993, 1.04446, 0.53605, 0.4652, 0.46467, 0.50092, 0.52389, 0.42916, 0.43527, 0.42795, 0.45739, 0.37789, 0.37883, 0.3606, 0.42835, 0.34184, 0.38181, 0.36846, 0.36191, 0.35016, 0.33776, 0.3241, 0.32755, 0.31608, 0.31245, 0.31618]"
yolov8s_translate,85.0,76.0,80.0,75.0,85.0,76.0,80.0,70.0,147.0,1.26,5.54,2.06,"[75.0, 91.0, 63.0, 72.0]","[1.02447, 0.67458, 0.64024, 0.59962, 0.57598, 0.55394, 0.52038, 0.50262, 0.48648, 0.47701, 0.47341, 0.45023, 0.43335, 0.42218, 0.42028, 0.41036, 0.38296, 0.38163, 0.37322, 0.36498, 0.41317, 0.39724, 0.37333, 0.3568, 0.33802, 0.32905, 0.30882, 0.29843, 0.28466, 0.2735]","[2.56081, 0.75376, 0.74885, 0.69115, 0.64995, 0.63756, 0.62219, 0.58144, 0.56761, 0.54034, 0.54459, 0.51345, 0.50924, 0.4975, 0.48752, 0.47831, 0.4473, 0.44673, 0.45509, 0.43326, 0.56193, 0.51331, 0.48269, 0.45326, 0.4224, 0.40809, 0.38213, 0.37528, 0.35861, 0.35655]","[1.6407, 0.73147, 0.62611, 0.58241, 0.5432, 0.50494, 0.46686, 0.4459, 0.4324, 0.43489, 0.40393, 0.38931, 0.36301, 0.35143, 0.3461, 0.33213, 0.31804, 0.3068, 0.30497, 0.3032, 0.30789, 0.28488, 0.26004, 0.23785, 0.21885, 0.21391, 0.19976, 0.18932, 0.18004, 0.17396]","[1.01458, 0.84107, 0.7229, 0.7443, 0.69613, 0.65518, 0.61116, 0.60646, 0.56497, 0.52769, 0.55733, 0.55723, 0.5635, 0.51344, 0.51189, 0.53143, 0.50806, 0.5047, 0.50323, 0.50578, 0.49587, 0.4968, 0.48472, 0.47849, 0.47992, 0.4523, 0.45198, 0.45873, 0.46117, 0.4581]","[1.73783, 2.69754, 1.24004, 2.04224, 0.96489, 0.96619, 1.26362, 0.88735, 1.0632, 0.86979, 0.81965, 0.75409, 0.80167, 0.82489, 0.76793, 0.76915, 0.77427, 0.74843, 0.7251, 0.72307, 0.70405, 0.79149, 0.76085, 0.73309, 0.74934, 0.69338, 0.70584, 0.69917, 0.70473, 0.70859]","[1.65418, 1.69125, 0.87156, 0.80856, 0.66559, 0.6478, 0.60245, 0.49157, 0.54078, 0.47094, 0.49263, 0.4511, 0.46425, 0.41103, 0.36778, 0.35848, 0.33728, 0.38869, 0.38523, 0.34544, 0.37989, 0.34747, 0.35461, 0.32597, 0.32148, 0.29936, 0.29457, 0.27804, 0.29332, 0.28932]"
yolov8s_scale,85.0,73.0,78.0,74.0,85.0,73.0,78.0,70.0,145.0,0.99,5.87,1.92,"[74.0, 90.0, 73.0, 60.0]","[1.04448, 0.67934, 0.65278, 0.63618, 0.62002, 0.57341, 0.56541, 0.55153, 0.5148, 0.4992, 0.49944, 0.48874, 0.48389, 0.4644, 0.44583, 0.43551, 0.431, 0.41968, 0.40799, 0.40356, 0.45657, 0.44111, 0.42617, 0.41618, 0.4018, 0.38941, 0.38224, 0.36408, 0.35425, 0.34606]","[2.52585, 0.80335, 0.76525, 0.74529, 0.67988, 0.64907, 0.64565, 0.63391, 0.58999, 0.5695, 0.55979, 0.55961, 0.56061, 0.53937, 0.50919, 0.52017, 0.50992, 0.47799, 0.47052, 0.46966, 0.6282, 0.57639, 0.55945, 0.53434, 0.51078, 0.48443, 0.46378, 0.45029, 0.44664, 0.42957]","[1.65378, 0.8136, 0.69484, 0.63181, 0.57617, 0.53087, 0.50038, 0.47265, 0.45574, 0.42642, 0.42004, 0.40372, 0.39151, 0.3775, 0.35802, 0.34898, 0.34167, 0.33223, 0.31611, 0.30531, 0.37761, 0.34096, 0.33271, 0.31508, 0.29106, 0.27187, 0.26275, 0.24674, 0.23368, 0.22046]","[0.94215, 0.77275, 0.72736, 0.71477, 0.7984, 0.62946, 0.60914, 0.60592, 0.59374, 0.57604, 0.58331, 0.5854, 0.54346, 0.57035, 0.56735, 0.51322, 0.54043, 0.54327, 0.50088, 0.53686, 0.49258, 0.5159, 0.5275, 0.49087, 0.48266, 0.5045, 0.48647, 0.46595, 0.45802, 0.464]","[1.65315, 1.66414, 1.24621, 1.51628, 1.61168, 1.04573, 0.92436, 0.91389, 1.07999, 0.94633, 0.8772, 0.94223, 0.80584, 0.76028, 0.86399, 0.87705, 0.85465, 0.77621, 0.7539, 0.77801, 0.71381, 0.79395, 0.79021, 0.73927, 0.71376, 0.72665, 0.70756, 0.71202, 0.72309, 0.73312]","[2.72265, 1.01982, 1.10083, 0.97909, 0.91428, 0.58236, 0.52191, 0.51665, 0.55068, 0.49733, 0.45698, 0.49882, 0.42288, 0.43272, 0.49768, 0.38121, 0.48235, 0.38265, 0.3594, 0.37169, 0.41249, 0.38425, 0.3683, 0.33535, 0.34644, 0.34003, 0.3155, 0.29674, 0.2878, 0.28944]"
yolov8s_fliplr,77.0,76.0,77.0,71.0,77.0,76.0,77.0,68.0,141.0,1.35,4.94,1.98,"[71.0, 89.0, 54.0, 70.0]","[1.03202, 0.68754, 0.65351, 0.63868, 0.61514, 0.60405, 0.56417, 0.54918, 0.54066, 0.52508, 0.50862, 0.5122, 0.50416, 0.45656, 0.45002, 0.44531, 0.43512, 0.43374, 0.41302, 0.40546, 0.43545, 0.40844, 0.38847, 0.36363, 0.34558, 0.32928, 0.30477, 0.29205, 0.27368, 0.26219]","[2.56869, 0.81198, 0.75129, 0.72741, 0.69345, 0.68025, 0.64866, 0.63424, 0.61185, 0.58505, 0.58119, 0.59836, 0.58763, 0.54574, 0.51535, 0.51328, 0.526, 0.49634, 0.48557, 0.47997, 0.65187, 0.58403, 0.53131, 0.49104, 0.45138, 0.42807, 0.39296, 0.37451, 0.35686, 0.34147]","[1.63279, 0.78203, 0.65914, 0.64474, 0.57658, 0.54867, 0.51836, 0.49292, 0.4725, 0.45626, 0.4483, 0.43601, 0.41219, 0.37751, 0.37154, 0.37164, 0.36345, 0.34308, 0.33005, 0.31867, 0.32606, 0.29763, 0.27335, 0.24518, 0.22134, 0.20793, 0.19672, 0.18401, 0.1748, 0.16858]","[0.82959, 0.75682, 0.6846, 0.91751, 0.68107, 0.68553, 0.66357, 0.61348, 0.58217, 0.57134, 0.53669, 0.55844, 0.53607, 0.52986, 0.52434, 0.5247, 0.53127, 0.51654, 0.50931, 0.48965, 0.52542, 0.49046, 0.49711, 0.50398, 0.47533, 0.47849, 0.46969, 0.48498, 0.48251, 0.47862]","[1.19852, 1.98333, 1.20019, 1.50016, 1.02619, 1.17923, 0.92705, 0.86016, 0.81047, 0.88942, 0.82182, 0.88613, 0.83665, 0.77212, 0.77596, 0.76459, 0.79251, 0.74291, 0.75624, 0.76978, 0.74755, 0.76983, 0.72252, 0.72266, 0.68804, 0.69857, 0.73653, 0.74066, 0.75429, 0.76827]","[1.54116, 0.99477, 0.74735, 0.92705, 0.72105, 0.70682, 0.81713, 0.67638, 0.47971, 0.46334, 0.48036, 0.56193, 0.45891, 0.40521, 0.48888, 0.39516, 0.38178, 0.36721, 0.35961, 0.32118, 0.4213, 0.35615, 0.33652, 0.32553, 0.31668, 0.30891, 0.29613, 0.30383, 0.29134, 0.28579]"
yolov8s_all_aug,97.0,63.0,76.0,66.0,97.0,63.0,76.0,61.0,129.0,1.22,4.68,2.0,"[66.0, 87.0, 54.0, 55.0]","[1.05965, 0.71756, 0.69855, 0.68099, 0.66458, 0.62184, 0.60457, 0.58, 0.56867, 0.57371, 0.5502, 0.52591, 0.50893, 0.49766, 0.49906, 0.48742, 0.48883, 0.47421, 0.45717, 0.4534, 0.49759, 0.47761, 0.46389, 0.46277, 0.44141, 0.42855, 0.42343, 0.41417, 0.39929, 0.39603]","[2.62011, 0.88587, 0.81247, 0.77746, 0.75787, 0.74866, 0.70114, 0.68895, 0.66584, 0.64993, 0.62468, 0.60889, 0.6023, 0.5922, 0.57881, 0.5713, 0.55396, 0.55699, 0.52962, 0.53742, 0.67382, 0.6389, 0.6281, 0.60366, 0.56499, 0.55595, 0.55128, 0.53367, 0.51212, 0.51045]","[1.67031, 0.93916, 0.75106, 0.70558, 0.64951, 0.60213, 0.56186, 0.53198, 0.51405, 0.52105, 0.47093, 0.44432, 0.43248, 0.42154, 0.41705, 0.39521, 0.38756, 0.37793, 0.36093, 0.34849, 0.44053, 0.39213, 0.37841, 0.36272, 0.34385, 0.31815, 0.31227, 0.29068, 0.28233, 0.26954]","[0.879, 0.81336, 0.91405, 0.74547, 0.68663, 0.65978, 0.5852, 0.6818, 0.62995, 0.62903, 0.60505, 0.56089, 0.56531, 0.55962, 0.53699, 0.52595, 0.5425, 0.56227, 0.51261, 0.5012, 0.50444, 0.54212, 0.52708, 0.49977, 0.50246, 0.48591, 0.47748, 0.48168, 0.47537, 0.47233]","[1.22861, 1.2139, 1.34304, 1.28816, 1.52571, 0.87017, 0.8652, 1.0036, 0.90234, 0.8463, 0.81102, 0.92839, 0.86985, 0.80843, 0.84157, 0.83738, 0.84995, 0.80119, 0.71339, 0.71151, 0.71338, 0.73786, 0.69963, 0.70222, 0.70175, 0.67387, 0.67643, 0.68108, 0.67039, 0.67325]","[1.43345, 1.68614, 1.33889, 0.95845, 0.95021, 0.63284, 0.60025, 0.87414, 0.67197, 0.57734, 0.5192, 0.52315, 0.4708, 0.44492, 0.57037, 0.44483, 0.46526, 0.4276, 0.38183, 0.36509, 0.3986, 0.44639, 0.3728, 0.37408, 0.35498, 0.32768, 0.32111, 0.32465, 0.30975, 0.29892]"
yolov8s_no_aug,79.0,78.0,84.0,76.0,79.0,78.0,84.0,72.0,151.0,1.19,6.64,2.11,"[76.0, 88.0, 58.0, 83.0]","[1.01162, 0.65153, 0.6271, 0.62862, 0.58941, 0.55227, 0.5149, 0.50423, 0.49302, 0.48325, 0.46505, 0.44549, 0.43981, 0.41973, 0.40903, 0.39797, 0.39338, 0.37399, 0.36742, 0.36092, 0.40663, 0.37866, 0.34434, 0.31255, 0.28461, 0.27001, 0.24045, 0.22143, 0.20432, 0.18865]","[2.54815, 0.74468, 0.69926, 0.68428, 0.6584, 0.61748, 0.61741, 0.58259, 0.56622, 0.55448, 0.54759, 0.51818, 0.52093, 0.50407, 0.45962, 0.4629, 0.4624, 0.43929, 0.46046, 0.45127, 0.59636, 0.5116, 0.45662, 0.40609, 0.36297, 0.32791, 0.29382, 0.25833, 0.23457, 0.21517]","[1.61667, 0.73466, 0.64142, 0.5998, 0.53639, 0.51325, 0.46609, 0.44337, 0.43448, 0.41989, 0.40203, 0.38727, 0.36904, 0.35135, 0.33518, 0.3236, 0.32104, 0.2963, 0.29917, 0.28895, 0.31142, 0.26891, 0.24611, 0.22273, 0.19975, 0.18854, 0.16909, 0.1586, 0.14918, 0.14154]","[0.75346, 0.70087, 1.11741, 0.76015, 0.79658, 0.58939, 0.62588, 0.58401, 0.59575, 0.57448, 0.58526, 0.58218, 0.54044, 0.58068, 0.51614, 0.53409, 0.51221, 0.54815, 0.50344, 0.49587, 0.51436, 0.5208, 0.49301, 0.48366, 0.48959, 0.49423, 0.48026, 0.49413, 0.48928, 0.48723]","[1.16509, 1.19972, 1.5084, 1.34724, 1.09214, 0.91072, 1.13331, 1.01198, 0.91035, 0.83355, 0.93399, 0.80131, 0.78423, 0.79465, 0.78011, 0.78118, 0.77284, 0.79732, 0.7433, 0.75151, 0.74817, 0.80055, 0.74182, 0.71061, 0.73871, 0.7557, 0.77557, 0.78409, 0.79027, 0.85271]","[1.62154, 0.92752, 1.61227, 0.96371, 0.72341, 0.83458, 0.61446, 0.5484, 0.53993, 0.43771, 0.42119, 0.54898, 0.41069, 0.41819, 0.39438, 0.40021, 0.34728, 0.40091, 0.34938, 0.33969, 0.39306, 0.37857, 0.34417, 0.34268, 0.33401, 0.33329, 0.3198, 0.32412, 0.31318, 0.3034]"
