model,precision(B),recall(B),mAP50(B),mAP50-95(B),precision(M),recall(M),mAP50(M),mAP50-95(M),fitness,speed_preprocess,speed_inference,speed_postprocess,map50_95_per_class,train/box_loss,train/seg_loss,train/cls_loss,val/box_loss,val/seg_loss,val/cls_loss
yolov8m_hsv,98.0,70.0,79.0,73.0,98.0,70.0,79.0,68.0,143.0,2.1,10.65,4.42,"[73.0, 89.0, 61.0, 68.0]","[0.9657, 0.64392, 0.63269, 0.62053, 0.57987, 0.5448, 0.52757, 0.51161, 0.50349, 0.49365, 0.47434, 0.46729, 0.44989, 0.42615, 0.40821, 0.40171, 0.39082, 0.38175, 0.36682, 0.36139, 0.40591, 0.3716, 0.34875, 0.31381, 0.2942, 0.27941, 0.25512, 0.23347, 0.21837, 0.20288]","[2.20045, 0.75858, 0.72168, 0.69105, 0.68317, 0.62566, 0.63349, 0.5921, 0.57272, 0.55961, 0.5425, 0.54052, 0.53562, 0.53122, 0.48037, 0.46849, 0.47569, 0.46141, 0.46612, 0.45763, 0.61106, 0.5367, 0.49159, 0.4378, 0.39837, 0.36485, 0.33293, 0.30302, 0.27859, 0.25943]","[1.5173, 0.66012, 0.60437, 0.57951, 0.54818, 0.48689, 0.4579, 0.44047, 0.41743, 0.39764, 0.39334, 0.38473, 0.36446, 0.34855, 0.34035, 0.32537, 0.31083, 0.2963, 0.28532, 0.28341, 0.31119, 0.26601, 0.24023, 0.21388, 0.20037, 0.18427, 0.17388, 0.15884, 0.15001, 0.14017]","[0.72702, 1.07229, 0.85807, 0.6495, 0.60852, 0.56902, 0.61155, 0.61359, 0.55284, 0.51796, 0.52112, 0.55024, 0.57388, 0.50948, 0.53073, 0.52396, 0.50384, 0.50354, 0.52353, 0.51278, 0.46712, 0.51406, 0.47897, 0.47312, 0.49873, 0.49908, 0.48522, 0.48495, 0.48147, 0.48398]","[1.59091, 6.40331, 1.47625, 0.94485, 1.02777, 0.84697, 0.8734, 0.98706, 0.83948, 0.85035, 0.81996, 0.88592, 0.79365, 0.81517, 0.83512, 0.79651, 0.78374, 0.85592, 0.79672, 0.76726, 0.68178, 0.74742, 0.7934, 0.80327, 0.7432, 0.73315, 0.7463, 0.7465, 0.77127, 0.81165]","[2.09498, 2.90732, 1.31022, 0.73608, 0.83409, 0.48193, 0.50467, 0.51853, 0.44497, 0.42679, 0.41379, 0.44501, 0.42185, 0.3832, 0.36703, 0.37712, 0.38834, 0.34851, 0.36542, 0.349, 0.37248, 0.37507, 0.34545, 0.322, 0.31495, 0.3188, 0.30974, 0.30673, 0.29704, 0.29729]"
yolov8m_translate,67.0,79.0,75.0,68.0,67.0,79.0,75.0,65.0,135.0,1.64,4.78,2.33,"[68.0, 90.0, 59.0, 57.0]","[0.90009, 0.64466, 0.63451, 0.60053, 0.56981, 0.54617, 0.52631, 0.51421, 0.48121, 0.47016, 0.45638, 0.44083, 0.4297, 0.41822, 0.40068, 0.39892, 0.38332, 0.36547, 0.36043, 0.34105, 0.402, 0.38684, 0.36344, 0.34502, 0.33205, 0.31885, 0.30043, 0.28741, 0.27396, 0.26187]","[2.04463, 0.74193, 0.72522, 0.68715, 0.68019, 0.62949, 0.63825, 0.57358, 0.57478, 0.53948, 0.53824, 0.52372, 0.51951, 0.49518, 0.48701, 0.47119, 0.4734, 0.44862, 0.45198, 0.44028, 0.58794, 0.53701, 0.49745, 0.46774, 0.43699, 0.41923, 0.39776, 0.38337, 0.36252, 0.3583]","[1.41014, 0.68962, 0.62316, 0.55178, 0.52714, 0.49889, 0.45527, 0.44209, 0.42693, 0.39017, 0.3782, 0.36822, 0.3476, 0.33264, 0.32109, 0.31049, 0.30464, 0.28686, 0.28021, 0.26771, 0.32309, 0.28537, 0.26854, 0.24252, 0.22547, 0.20981, 0.19055, 0.18054, 0.16763, 0.16024]","[0.65402, 0.74585, 0.72751, 0.73669, 0.7792, 0.63135, 0.63935, 0.62397, 0.56502, 0.58486, 0.55694, 0.55863, 0.53309, 0.53102, 0.52703, 0.54457, 0.5211, 0.52792, 0.49558, 0.51419, 0.49277, 0.48656, 0.48184, 0.47915, 0.48713, 0.48855, 0.48062, 0.47776, 0.47102, 0.46607]","[1.06818, 1.60927, 1.57102, 1.3961, 2.93122, 1.05076, 1.44616, 0.86987, 0.85937, 0.96948, 0.87719, 0.79652, 0.78371, 0.8045, 0.79945, 0.81904, 0.78391, 0.75769, 0.75967, 0.78549, 0.7613, 0.77322, 0.71315, 0.74588, 0.74751, 0.73031, 0.74531, 0.73189, 0.72641, 0.74662]","[2.22114, 1.58702, 2.01669, 0.89668, 1.04337, 0.60722, 0.63551, 0.65974, 0.46965, 0.48893, 0.43943, 0.44701, 0.42048, 0.39572, 0.42301, 0.35334, 0.35507, 0.3463, 0.33436, 0.34511, 0.45571, 0.36662, 0.34051, 0.33394, 0.32384, 0.31049, 0.31412, 0.31383, 0.29881, 0.29522]"
yolov8m_hsvtranslate,93.0,62.0,71.0,66.0,93.0,61.0,70.0,63.0,130.0,1.26,4.92,2.59,"[66.0, 90.0, 52.0, 57.0]","[0.9093, 0.64543, 0.63092, 0.64578, 0.57782, 0.54718, 0.53104, 0.50753, 0.4895, 0.48509, 0.46829, 0.45641, 0.4377, 0.42323, 0.41087, 0.3971, 0.38795, 0.38457, 0.37436, 0.3591, 0.40301, 0.39846, 0.37199, 0.35379, 0.33743, 0.32648, 0.30637, 0.29627, 0.28302, 0.27171]","[2.03704, 0.78558, 0.75537, 0.7298, 0.67411, 0.62103, 0.63723, 0.56468, 0.57365, 0.55199, 0.54999, 0.53087, 0.53855, 0.52721, 0.49405, 0.48683, 0.48209, 0.47137, 0.47438, 0.45968, 0.58102, 0.5319, 0.51556, 0.47842, 0.44212, 0.42266, 0.39878, 0.38881, 0.36833, 0.36496]","[1.40713, 0.67242, 0.60663, 0.59862, 0.52456, 0.49505, 0.47062, 0.44416, 0.42609, 0.40487, 0.39498, 0.3811, 0.35439, 0.34237, 0.33207, 0.31323, 0.30834, 0.30644, 0.2899, 0.29338, 0.31092, 0.28491, 0.26808, 0.2365, 0.21227, 0.20775, 0.19752, 0.18392, 0.17182, 0.16507]","[0.71904, 0.70372, 0.71659, 0.66615, 0.62362, 0.61165, 0.63204, 0.57936, 0.58895, 0.59533, 0.54553, 0.52869, 0.52215, 0.50607, 0.52745, 0.52216, 0.52334, 0.5392, 0.50494, 0.52388, 0.5095, 0.51778, 0.48368, 0.49311, 0.48812, 0.48291, 0.48312, 0.48516, 0.48218, 0.48438]","[1.20458, 1.5315, 1.66852, 1.2103, 0.96355, 1.01124, 1.10213, 0.84826, 1.05689, 0.91701, 0.84422, 0.7986, 0.83847, 0.76306, 0.79894, 0.80387, 0.83595, 0.79479, 0.7468, 0.76528, 0.66796, 0.74137, 0.72796, 0.69999, 0.75434, 0.71046, 0.73059, 0.74312, 0.73215, 0.75201]","[1.90029, 4.31191, 0.79895, 0.97361, 0.58221, 0.60279, 0.54676, 0.542, 0.49969, 0.43045, 0.43143, 0.35259, 0.36243, 0.37547, 0.34318, 0.35728, 0.3762, 0.36121, 0.34021, 0.35344, 0.34812, 0.33349, 0.32117, 0.29374, 0.28322, 0.28978, 0.28607, 0.28306, 0.27177, 0.27382]"
yolov8m_fliplr,87.0,85.0,85.0,79.0,87.0,85.0,85.0,76.0,156.0,0.89,5.27,2.73,"[79.0, 91.0, 65.0, 81.0]","[0.99336, 0.71165, 0.70209, 0.68595, 0.65111, 0.61553, 0.59066, 0.57258, 0.55015, 0.54424, 0.53353, 0.51588, 0.5136, 0.49705, 0.47611, 0.46538, 0.47005, 0.45215, 0.44216, 0.4246, 0.48048, 0.46385, 0.44787, 0.43798, 0.42473, 0.41407, 0.40216, 0.39332, 0.37998, 0.37483]","[2.21635, 0.86066, 0.81428, 0.79578, 0.75366, 0.71074, 0.70781, 0.67898, 0.66746, 0.63789, 0.62483, 0.61494, 0.61426, 0.60893, 0.56216, 0.55487, 0.55031, 0.52933, 0.51589, 0.50886, 0.65841, 0.62233, 0.60678, 0.58949, 0.56341, 0.54982, 0.53432, 0.52156, 0.50363, 0.48399]","[1.57825, 0.84542, 0.71729, 0.68582, 0.63153, 0.58156, 0.54752, 0.53367, 0.49557, 0.47619, 0.46607, 0.45945, 0.42658, 0.40049, 0.38015, 0.3658, 0.37243, 0.35923, 0.34539, 0.3219, 0.41551, 0.37454, 0.36457, 0.34706, 0.33029, 0.30935, 0.2921, 0.27539, 0.25725, 0.24604]","[0.8928, 0.68552, 0.75237, 0.76511, 0.77733, 0.65386, 0.58785, 0.68312, 0.56424, 0.53808, 0.5307, 0.55604, 0.52302, 0.55047, 0.52613, 0.52206, 0.53826, 0.52507, 0.50869, 0.49858, 0.50611, 0.49037, 0.51264, 0.46317, 0.46241, 0.46861, 0.4577, 0.46146, 0.44603, 0.4443]","[1.72909, 1.92834, 2.3921, 1.15155, 2.70239, 1.0467, 1.05076, 0.96927, 0.85347, 0.92361, 0.81872, 0.82459, 0.76576, 0.80093, 0.75266, 0.803, 0.91032, 0.79721, 0.75461, 0.73791, 0.70685, 0.71683, 0.69716, 0.66371, 0.66839, 0.69125, 0.67977, 0.68099, 0.66111, 0.66743]","[2.07393, 2.10136, 1.31238, 1.61272, 1.35783, 0.66279, 0.76986, 0.63866, 0.50735, 0.56215, 0.51908, 0.64504, 0.44613, 0.44829, 0.46754, 0.48243, 0.44589, 0.40091, 0.38204, 0.40015, 0.37757, 0.40284, 0.39245, 0.36813, 0.37181, 0.32645, 0.31893, 0.29049, 0.27792, 0.27432]"
yolov8m_30epochs_noda,76.0,75.0,77.0,71.0,76.0,75.0,76.0,67.0,139.0,0.91,8.51,1.81,"[71.0, 90.0, 60.0, 62.0]","[0.94368, 0.63387, 0.66019, 0.64381, 0.56791, 0.54177, 0.52291, 0.49092, 0.47714, 0.48282, 0.44858, 0.44301, 0.42554, 0.4156, 0.3934, 0.39078, 0.37142, 0.36191, 0.34944, 0.33844, 0.39906, 0.36738, 0.33662, 0.3104, 0.28702, 0.27363, 0.23968, 0.22046, 0.20396, 0.18661]","[2.1411, 0.76458, 0.73409, 0.72721, 0.65764, 0.62732, 0.63543, 0.58155, 0.56505, 0.55608, 0.52525, 0.51591, 0.51899, 0.51855, 0.46531, 0.46424, 0.46595, 0.43976, 0.44644, 0.43713, 0.60288, 0.53502, 0.47306, 0.42634, 0.37783, 0.33995, 0.30609, 0.2791, 0.2537, 0.23434]","[1.49434, 0.66408, 0.61707, 0.61831, 0.52017, 0.4979, 0.46723, 0.4368, 0.40719, 0.39536, 0.38414, 0.36483, 0.34689, 0.34807, 0.31246, 0.31367, 0.29535, 0.28368, 0.27264, 0.2699, 0.31572, 0.27342, 0.24739, 0.21199, 0.19212, 0.17947, 0.16414, 0.15232, 0.14424, 0.13346]","[0.65532, 0.9476, 0.80061, 0.62676, 0.61527, 0.58081, 0.57943, 0.56759, 0.58282, 0.56341, 0.50978, 0.50949, 0.5491, 0.53325, 0.48998, 0.53594, 0.53471, 0.50966, 0.49141, 0.51009, 0.51759, 0.48899, 0.48156, 0.47222, 0.49878, 0.48326, 0.47074, 0.47306, 0.47705, 0.47694]","[1.0052, 3.86088, 1.17891, 1.11281, 1.07088, 1.01139, 0.94536, 1.04961, 0.91006, 0.83994, 0.88356, 0.83046, 0.83439, 0.81639, 0.846, 0.8032, 0.80399, 0.78192, 0.86719, 0.8014, 0.786, 0.81405, 0.74708, 0.75812, 0.77104, 0.7752, 0.78422, 0.81956, 0.84523, 0.89025]","[2.37421, 1.17736, 1.33103, 0.82999, 1.11122, 0.58417, 0.47883, 0.48676, 0.51194, 0.45902, 0.41938, 0.4021, 0.41516, 0.37997, 0.34915, 0.35913, 0.40356, 0.33745, 0.35289, 0.33276, 0.36781, 0.355, 0.33974, 0.32349, 0.30589, 0.29022, 0.28948, 0.29637, 0.3035, 0.30325]"
yolov8m_all,85.0,67.0,72.0,66.0,85.0,67.0,72.0,63.0,130.0,1.97,8.11,2.22,"[66.0, 90.0, 63.0, 45.0]","[0.95273, 0.75706, 0.71931, 0.6903, 0.67652, 0.6272, 0.61136, 0.58706, 0.57133, 0.56852, 0.54726, 0.54102, 0.52611, 0.51315, 0.49144, 0.48328, 0.49047, 0.47051, 0.46491, 0.45512, 0.48948, 0.48138, 0.45957, 0.44901, 0.44512, 0.4326, 0.42443, 0.40754, 0.40056, 0.39047]","[2.12168, 0.85629, 0.85955, 0.81763, 0.78052, 0.77931, 0.75311, 0.70908, 0.68388, 0.67447, 0.65897, 0.64091, 0.64867, 0.60171, 0.57357, 0.56099, 0.58076, 0.55347, 0.55279, 0.55784, 0.68704, 0.65375, 0.63622, 0.61278, 0.57607, 0.5689, 0.56263, 0.54105, 0.51385, 0.51179]","[1.51746, 0.88517, 0.76262, 0.68782, 0.67863, 0.59855, 0.57156, 0.54152, 0.52194, 0.50206, 0.48134, 0.46734, 0.44184, 0.42955, 0.41057, 0.40167, 0.39541, 0.37008, 0.36077, 0.34751, 0.4321, 0.40524, 0.39115, 0.36764, 0.35296, 0.32194, 0.30592, 0.29045, 0.27938, 0.27298]","[1.06933, 0.92529, 0.89559, 0.66682, 0.69576, 0.71856, 0.62368, 0.56774, 0.55447, 0.53943, 0.5554, 0.55154, 0.53915, 0.53218, 0.51466, 0.51968, 0.50134, 0.5316, 0.48111, 0.51981, 0.50298, 0.50512, 0.52356, 0.49134, 0.46644, 0.47611, 0.46524, 0.4667, 0.47149, 0.47174]","[1.35559, 2.15215, 3.09014, 0.97509, 1.04094, 1.02171, 0.97908, 0.86935, 0.86314, 0.81585, 0.92383, 0.96542, 0.76357, 0.77951, 0.7793, 0.76199, 0.77234, 0.77123, 0.7535, 0.76812, 0.77365, 0.72381, 0.71472, 0.70618, 0.69091, 0.66662, 0.65617, 0.64226, 0.64842, 0.6563]","[2.13183, 2.74805, 1.24513, 0.76099, 0.88192, 0.80305, 0.53715, 0.57934, 0.64743, 0.46259, 0.53586, 0.47209, 0.41542, 0.41647, 0.46142, 0.39183, 0.38665, 0.38399, 0.37865, 0.39168, 0.56347, 0.41858, 0.41523, 0.34678, 0.33209, 0.32586, 0.31202, 0.31244, 0.28657, 0.28281]"
